HOG	OG	Gene Tree Parent Clade	lycopersicum	pepper
N0.HOG0013221	OG0011076	-	Solyc04g008690.3.1	PHT81236.1
N0.HOG0013222	OG0011077	-	Solyc04g008700.3.1	PHT81167.1
N0.HOG0013223	OG0011078	-	Solyc04g008730.3.1	PHT81175.1
N0.HOG0013224	OG0011079	-	Solyc04g008750.3.1	PHT81178.1
N0.HOG0013225	OG0011080	-	Solyc04g008760.3.1	PHT51496.1
N0.HOG0013226	OG0011081	-	Solyc04g008770.3.1	PHT81180.1
N0.HOG0013227	OG0011082	-	Solyc04g008780.4.1	PHT81181.1
N0.HOG0013228	OG0011083	-	Solyc04g008830.1.1	PHT81188.1
N0.HOG0013229	OG0011084	-	Solyc04g008840.3.1	PHT81189.1
N0.HOG0013230	OG0011085	-	Solyc04g008860.4.1	PHT81165.1
N0.HOG0013231	OG0011086	-	Solyc04g008980.3.1	PHT81149.1
N0.HOG0013232	OG0011087	-	Solyc04g008990.3.1	PHT81148.1
N0.HOG0013233	OG0011088	-	Solyc04g009000.1.1	PHT81147.1
N0.HOG0013234	OG0011089	-	Solyc04g009010.2.1	PHT81146.1
N0.HOG0013235	OG0011090	-	Solyc04g009020.4.1	PHT81145.1
N0.HOG0013236	OG0011091	-	Solyc04g009060.4.1	PHT81139.1
N0.HOG0013237	OG0011092	-	Solyc04g009160.4.1	PHT81218.1
N0.HOG0013238	OG0011093	-	Solyc04g009200.3.1	PHT81091.1
N0.HOG0013239	OG0011094	-	Solyc04g009210.1.1	PHT81090.1
N0.HOG0013240	OG0011095	-	Solyc04g009280.1.1	PHT81125.1
N0.HOG0013241	OG0011096	-	Solyc04g009300.4.1	PHT81126.1
N0.HOG0013242	OG0011097	-	Solyc04g009320.3.1	PHT81053.1
N0.HOG0013243	OG0011098	-	Solyc04g009330.4.1	PHT80639.1
N0.HOG0013244	OG0011099	-	Solyc04g009370.4.1	PHT81046.1
N0.HOG0013245	OG0011100	-	Solyc04g009380.3.1	PHT81044.1
N0.HOG0013246	OG0011101	-	Solyc04g009420.3.1	PHT80936.1
N0.HOG0013247	OG0011102	-	Solyc04g009430.3.1	PHT80935.1
N0.HOG0013248	OG0011103	-	Solyc04g009440.3.1	PHT81035.1
N0.HOG0013249	OG0011104	-	Solyc04g009453.1.1, Solyc04g009480.1.1	
N0.HOG0013250	OG0011105	-	Solyc04g009500.4.1	PHT80960.1
N0.HOG0013251	OG0011106	-	Solyc04g009530.4.1	PHT80963.1
N0.HOG0013252	OG0011107	-	Solyc04g009540.1.1	PHT80964.1
N0.HOG0013253	OG0011108	-	Solyc04g009560.3.1	PHT80966.1
N0.HOG0013254	OG0011109	-	Solyc04g009570.3.1	PHT92061.1
N0.HOG0013255	OG0011110	-	Solyc04g009700.3.1	PHT80989.1
N0.HOG0013256	OG0011111	-	Solyc04g009710.2.1	PHT80990.1
N0.HOG0013257	OG0011112	-	Solyc04g009810.3.1	PHT81002.1
N0.HOG0013258	OG0011113	-	Solyc04g009830.3.1	PHT81005.1
N0.HOG0013259	OG0011114	-	Solyc04g009930.3.1	PHT80916.1
N0.HOG0013260	OG0011115	-	Solyc04g009940.4.1	PHT80917.1
N0.HOG0013261	OG0011116	-	Solyc04g009950.3.1	PHT80918.1
N0.HOG0013262	OG0011117	-	Solyc04g009980.4.1	PHT80926.1
N0.HOG0013263	OG0011118	-	Solyc04g010030.1.1, Solyc04g010010.3.1	
N0.HOG0013264	OG0011119	-	Solyc04g010050.4.1	PHT91165.1
N0.HOG0013265	OG0011120	-	Solyc04g010060.2.1	PHT91166.1
N0.HOG0013266	OG0011121	-	Solyc04g010080.3.1	PHT80874.1
N0.HOG0013267	OG0011122	-	Solyc04g010090.3.1	PHT80875.1
N0.HOG0013268	OG0011123	-	Solyc04g010100.2.1, Solyc04g016390.2.1	
N0.HOG0013269	OG0011124	-	Solyc04g010190.1.1	PHT80855.1
N0.HOG0013270	OG0011125	-	Solyc04g010230.4.1	PHT80859.1
N0.HOG0013271	OG0011126	-	Solyc04g010250.3.1	PHT80861.1
N0.HOG0013272	OG0011127	-	Solyc04g010290.4.1	PHT80866.1
N0.HOG0013273	OG0011128	-	Solyc04g010310.4.1	PHT80868.1
N0.HOG0013274	OG0011129	-	Solyc04g010330.3.1	PHT95014.1
N0.HOG0013275	OG0011130	-	Solyc04g011340.3.1	PHT80886.1
N0.HOG0013276	OG0011131	-	Solyc04g011360.3.1	PHT80888.1
N0.HOG0013277	OG0011132	-	Solyc04g011380.4.1	PHT80891.1
N0.HOG0013278	OG0011133	-	Solyc04g011450.2.1	PHT80871.1
N0.HOG0013279	OG0011134	-	Solyc04g011460.3.1	PHT80898.1
N0.HOG0013280	OG0011135	-	Solyc04g150108.1.1	PHT80902.1
N0.HOG0013281	OG0011136	-	Solyc04g011510.4.1	PHT80904.1
N0.HOG0013282	OG0011137	-	Solyc04g011520.3.1	PHT80905.1
N0.HOG0013283	OG0011138	-	Solyc04g011530.3.1	PHT80906.1
N0.HOG0013284	OG0011139	-	Solyc04g011540.4.1	PHT80907.1
N0.HOG0013285	OG0011140	-	Solyc04g011580.4.1	PHT80912.1
N0.HOG0013286	OG0011141	-	Solyc04g011620.3.1	PHT80853.1
N0.HOG0013287	OG0011142	-	Solyc04g011650.3.1	PHT80850.1
N0.HOG0013288	OG0011143	-	Solyc04g011700.2.1	PHT80840.1
N0.HOG0013289	OG0011144	-	Solyc04g011735.1.1, Solyc04g011750.3.1	
N0.HOG0013290	OG0011145	-	Solyc04g011880.1.1	PHT80783.1
N0.HOG0013291	OG0011146	-	Solyc04g011900.4.1	PHT80776.1
N0.HOG0013292	OG0011147	-	Solyc04g011910.3.1	PHT80775.1
N0.HOG0013293	OG0011148	-	Solyc04g150109.1.1	PHT80832.1
N0.HOG0013294	OG0011149	-	Solyc04g012050.3.1	PHT80823.1
N0.HOG0013295	OG0011150	-	Solyc04g012170.4.1	PHT80808.1
N0.HOG0013296	OG0011151	-	Solyc04g014360.3.1	PHT80745.1
N0.HOG0013297	OG0011152	-	Solyc04g014370.4.1	PHT80746.1
N0.HOG0013298	OG0011153	-	Solyc04g014390.3.1	PHT80752.1
N0.HOG0013299	OG0011154	-	Solyc04g014410.4.1	PHT80756.1
N0.HOG0013300	OG0011155	-	Solyc04g014420.4.1	PHT80757.1
N0.HOG0013301	OG0011156	-	Solyc11g011130.3.1, Solyc04g014460.4.1	
N0.HOG0013302	OG0011157	-	Solyc04g014480.3.1	PHT80764.1
N0.HOG0013303	OG0011158	-	Solyc04g014490.1.1	PHT80765.1
N0.HOG0013304	OG0011159	-	Solyc04g014540.3.1	PHT80769.1
N0.HOG0013305	OG0011160	-	Solyc04g014550.3.1	PHT80770.1
N0.HOG0013306	OG0011161	-	Solyc04g014560.4.1	PHT80771.1
N0.HOG0013307	OG0011162	-	Solyc04g014600.3.1	PHT80773.1
N0.HOG0013308	OG0011163	-	Solyc04g014700.4.1	PHT62510.1
N0.HOG0013309	OG0011164	-	Solyc04g014710.3.1	PHT62511.1
N0.HOG0013310	OG0011165	-	Solyc04g014887.1.1	PHT78547.1
N0.HOG0013311	OG0011166	-	Solyc04g015010.4.1	PHT62525.1
N0.HOG0013312	OG0011167	-	Solyc04g015020.3.1	PHT62526.1
N0.HOG0013313	OG0011168	-	Solyc04g015030.4.1	PHT62527.1
N0.HOG0013314	OG0011169	-	Solyc04g015040.3.1	PHT62528.1
N0.HOG0013315	OG0011170	-	Solyc04g015050.3.1	PHT62529.1
N0.HOG0013316	OG0011171	-	Solyc04g015060.3.1	PHT62530.1
N0.HOG0013317	OG0011172	-	Solyc04g015070.3.1	PHT62531.1
N0.HOG0013318	OG0011173	-	Solyc04g015080.4.1	PHT62504.1
N0.HOG0013319	OG0011174	-	Solyc04g015100.3.1	PHT62503.1
N0.HOG0013320	OG0011175	-	Solyc04g015110.3.1	PHT62502.1
N0.HOG0013321	OG0011176	-	Solyc04g015120.3.1	PHT62501.1
N0.HOG0013322	OG0011177	-	Solyc04g015130.3.1	PHT62500.1
N0.HOG0013323	OG0011178	-	Solyc04g015160.3.1	PHT80689.1
N0.HOG0013324	OG0011179	-	Solyc04g015170.3.1	PHT80690.1
N0.HOG0013325	OG0011180	-	Solyc04g015180.3.1	PHT80691.1
N0.HOG0013326	OG0011181	-	Solyc04g015190.3.1	PHT80692.1
N0.HOG0013327	OG0011182	-	Solyc04g015200.3.1	PHT80693.1
N0.HOG0013328	OG0011183	-	Solyc04g015260.1.1	PHT80696.1
N0.HOG0013329	OG0011184	-	Solyc04g015270.3.1	PHT80697.1
N0.HOG0013330	OG0011185	-	Solyc04g015280.3.1	PHT80698.1
N0.HOG0013331	OG0011186	-	Solyc04g015290.3.1	PHT80699.1
N0.HOG0013332	OG0011187	-	Solyc04g015300.3.1	PHT80700.1
N0.HOG0013333	OG0011188	-	Solyc04g015330.3.1	PHT61311.1
N0.HOG0013334	OG0011189	-	Solyc04g015340.3.1	PHT61310.1
N0.HOG0013335	OG0011190	-	Solyc04g015350.3.1	PHT61309.1
N0.HOG0013336	OG0011191	-	Solyc04g015360.3.1	PHT61308.1
N0.HOG0013337	OG0011192	-	Solyc04g015440.4.1	PHT80645.1
N0.HOG0013338	OG0011193	-	Solyc04g015450.3.1	PHT80641.1
N0.HOG0013339	OG0011194	-	Solyc04g015480.3.1	PHT80644.1
N0.HOG0013340	OG0011195	-	Solyc04g015490.4.1	PHT80640.1
N0.HOG0013341	OG0011196	-	Solyc04g015520.3.1	PHT80637.1
N0.HOG0013342	OG0011197	-	Solyc04g015560.4.1	PHT80634.1
N0.HOG0013343	OG0011198	-	Solyc04g015570.3.1	PHT80633.1
N0.HOG0013344	OG0011199	-	Solyc04g015590.4.1	PHT80630.1
N0.HOG0013345	OG0011200	-	Solyc04g015630.2.1	PHT80625.1
N0.HOG0013346	OG0011201	-	Solyc04g015690.4.1	PHT80620.1
N0.HOG0013347	OG0011202	-	Solyc04g015710.3.1	PHT81290.1
N0.HOG0013348	OG0011203	-	Solyc04g015750.3.1	PHT80618.1
N0.HOG0013349	OG0011204	-	Solyc04g015760.4.1	PHT80617.1
N0.HOG0013350	OG0011205	-	Solyc04g015940.3.1	PHT80655.1
N0.HOG0013351	OG0011206	-	Solyc04g015950.3.1	PHT80656.1
N0.HOG0013352	OG0011207	-	Solyc04g015970.3.1	PHT80657.1
N0.HOG0013353	OG0011208	-	Solyc04g015990.2.1	PHT80658.1
N0.HOG0013354	OG0011209	-	Solyc04g016000.3.1	PHT80659.1
N0.HOG0013355	OG0011210	-	Solyc04g016060.1.1	PHT80662.1
N0.HOG0013356	OG0011211	-	Solyc04g016120.2.1, Solyc04g079670.1.1	
N0.HOG0013357	OG0011212	-	Solyc04g016180.3.1	PHT80669.1
N0.HOG0013358	OG0011213	-	Solyc04g016250.3.1	PHT80675.1
N0.HOG0013359	OG0011214	-	Solyc04g016330.3.1	PHT80679.1
N0.HOG0013360	OG0011215	-	Solyc04g016360.3.1	PHT80680.1
N0.HOG0013361	OG0011216	-	Solyc04g016370.3.1	PHT80602.1
N0.HOG0013362	OG0011217	-	Solyc04g016380.3.1	PHT80603.1
N0.HOG0013363	OG0011218	-	Solyc04g016420.3.1	PHT80605.1
N0.HOG0013364	OG0011219	-	Solyc04g016440.4.1	PHT80607.1
N0.HOG0013365	OG0011220	-	Solyc04g016490.4.1	PHT80610.1
N0.HOG0013366	OG0011221	-	Solyc04g016510.3.1	PHT80612.1
N0.HOG0013367	OG0011222	-	Solyc04g016520.3.1	PHT80613.1
N0.HOG0013368	OG0011223	-	Solyc04g016550.4.1	PHT80599.1
N0.HOG0013369	OG0011224	-	Solyc04g017700.4.1	PHT80591.1
N0.HOG0013370	OG0011225	-	Solyc04g017710.3.1, Solyc10g079190.3.1	
N0.HOG0013371	OG0011226	-	Solyc11g062155.1.1, Solyc04g018045.1.1	
N0.HOG0013372	OG0011227	-	Solyc04g018100.4.1	PHT80587.1
N0.HOG0013373	OG0011228	-	Solyc04g018210.1.1, Solyc04g018160.1.1	
N0.HOG0013374	OG0011229	-	Solyc04g040200.3.1	PHT80552.1
N0.HOG0013375	OG0011230	-	Solyc04g040160.4.1	PHT80565.1
N0.HOG0013376	OG0011231	-	Solyc04g040110.3.1	PHT77575.1
N0.HOG0013377	OG0011232	-	Solyc04g040090.4.1	PHT80578.1
N0.HOG0013378	OG0011233	-	Solyc04g150123.1.1	PHT83965.1
N0.HOG0013379	OG0011234	-	Solyc04g040000.2.1	PHT80576.1
N0.HOG0013380	OG0011235	-	Solyc04g039980.3.1	PHT80575.1
N0.HOG0013381	OG0011236	-	Solyc04g039940.3.1	PHT80569.1
N0.HOG0013382	OG0011237	-	Solyc04g039930.4.1, Solyc09g098320.1.1	
N0.HOG0013383	OG0011238	-	Solyc04g039870.3.1	PHT80566.1
N0.HOG0013384	OG0011239	-	Solyc04g039620.2.1	PHT81655.1
N0.HOG0013385	OG0011240	-	Solyc04g028560.4.1	PHT81440.1
N0.HOG0013386	OG0011241	-	Solyc04g026350.3.1	PHT81656.1
N0.HOG0013387	OG0011242	-	Solyc04g026280.2.1	PHT81540.1
N0.HOG0013388	OG0011243	-	Solyc04g026250.1.1	PHT87401.1
N0.HOG0013389	OG0011244	-	Solyc04g026140.1.1	PHT81120.1
N0.HOG0013390	OG0011245	-	Solyc04g025930.3.1, Solyc05g150102.1.1	
N0.HOG0013391	OG0011246	-	Solyc04g025760.1.1	PHT90748.1
N0.HOG0013392	OG0011247	-	Solyc04g025640.1.1, Solyc07g064390.1.1	
N0.HOG0013393	OG0011248	-	Solyc04g025540.3.1	PHT81654.1
N0.HOG0013394	OG0011249	-	Solyc04g025440.3.1	PHT81631.1
N0.HOG0013395	OG0011250	-	Solyc04g025430.1.1	PHT81630.1
N0.HOG0013396	OG0011251	-	Solyc04g025400.3.1	PHT81636.1
N0.HOG0013397	OG0011252	-	Solyc04g025290.4.1	PHT65746.1
N0.HOG0013398	OG0011253	-	Solyc04g025260.3.1	PHT67385.1
N0.HOG0013399	OG0011254	-	Solyc04g025170.4.1	PHT65825.1
N0.HOG0013400	OG0011255	-	Solyc04g024990.3.1, Solyc04g025000.2.1	
N0.HOG0013401	OG0011256	-	Solyc04g024940.3.1	PHT81632.1
N0.HOG0013402	OG0011257	-	Solyc06g034090.1.1, Solyc04g024690.1.1	
N0.HOG0013403	OG0011258	-	Solyc04g024650.3.1	PHT75589.1
N0.HOG0013404	OG0011259	-	Solyc04g024590.3.1	PHT65785.1
N0.HOG0013405	OG0011260	-	Solyc04g024520.3.1	PHT81642.1
N0.HOG0013406	OG0011261	-	Solyc04g024500.3.1	PHT81447.1
N0.HOG0013407	OG0011262	-	Solyc04g045470.4.1	PHT81711.1
N0.HOG0013408	OG0011263	-	Solyc04g045530.4.1	PHT72114.1
N0.HOG0013409	OG0011264	-	Solyc04g045590.3.1	PHT81707.1
N0.HOG0013410	OG0011265	-	Solyc04g045620.3.1	PHT68146.1
N0.HOG0013411	OG0011266	-	Solyc04g045630.3.1	PHT81568.1
N0.HOG0013412	OG0011267	-	Solyc04g045660.4.1	PHT88228.1
N0.HOG0013413	OG0011268	-	Solyc04g047690.4.1	PHT81415.1
N0.HOG0013414	OG0011269	-	Solyc04g047720.4.1	PHT81565.1
N0.HOG0013415	OG0011270	-	Solyc04g047750.3.1	PHT65723.1
N0.HOG0013416	OG0011271	-	Solyc04g047770.3.1	PHT81675.1
N0.HOG0013417	OG0011272	-	Solyc04g054875.1.1, Solyc04g047810.1.1	
N0.HOG0013418	OG0011273	-	Solyc04g047820.1.1, Solyc04g054870.1.1	
N0.HOG0013419	OG0011274	-	Solyc04g049010.3.1	PHT65976.1
N0.HOG0013420	OG0011275	-	Solyc04g049070.3.1	PHT95304.1
N0.HOG0013421	OG0011276	-	Solyc04g049080.4.1	PHT65773.1
N0.HOG0013422	OG0011277	-	Solyc04g049120.4.1	PHT65978.1
N0.HOG0013423	OG0011278	-	Solyc04g049180.3.1	PHT65729.1
N0.HOG0013424	OG0011279	-	Solyc04g049210.3.1, Solyc04g071220.1.1	
N0.HOG0013425	OG0011280	-	Solyc04g049330.3.1	PHT65826.1
N0.HOG0013426	OG0011281	-	Solyc04g049340.3.1	PHT70707.1
N0.HOG0013427	OG0011282	-	Solyc04g049360.3.1	PHT65726.1
N0.HOG0013428	OG0011283	-	Solyc04g049390.3.1	PHT65772.1
N0.HOG0013429	OG0011284	-	Solyc04g049400.3.1	PHT65937.1
N0.HOG0013430	OG0011285	-	Solyc04g049403.1.1, Solyc10g078775.1.1	
N0.HOG0013431	OG0011286	-	Solyc04g049450.3.1	PHT93061.1
N0.HOG0013432	OG0011287	-	Solyc04g049670.4.1	PHT65936.1
N0.HOG0013433	OG0011288	-	Solyc04g049680.2.1	PHT65935.1
N0.HOG0013434	OG0011289	-	Solyc04g049690.3.1	PHT65812.1
N0.HOG0013435	OG0011290	-	Solyc04g049740.1.1, Solyc04g050090.1.1	
N0.HOG0013436	OG0011291	-	Solyc04g049770.4.1	PHT68988.1
N0.HOG0013437	OG0011292	-	Solyc04g049850.3.1	PHT65809.1
N0.HOG0013438	OG0011293	-	Solyc04g049890.4.1	PHT89142.1
N0.HOG0013439	OG0011294	-	Solyc04g049910.4.1	PHT80962.1
N0.HOG0013440	OG0011295	-	Solyc04g049950.1.1	PHT65960.1
N0.HOG0013441	OG0011296	-	Solyc04g049960.3.1	PHT65952.1
N0.HOG0013442	OG0011297	-	Solyc04g049970.4.1	PHT89972.1
N0.HOG0013443	OG0011298	-	Solyc04g050040.3.1	PHT65823.1
N0.HOG0013444	OG0011299	-	Solyc04g050050.3.1	PHT65820.1
N0.HOG0013445	OG0011300	-	Solyc04g050130.1.1	PHT65776.1
N0.HOG0013446	OG0011301	-	Solyc04g050150.4.1	PHT65780.1
N0.HOG0013447	OG0011302	-	Solyc04g050160.4.1	PHT65781.1
N0.HOG0013448	OG0011303	-	Solyc04g050170.4.1	PHT95332.1
N0.HOG0013449	OG0011304	-	Solyc04g050240.3.1	PHT65946.1
N0.HOG0013450	OG0011305	-	Solyc04g050260.1.1	PHT65815.1
N0.HOG0013451	OG0011306	-	Solyc04g050470.4.1	PHT65761.1
N0.HOG0013452	OG0011307	-	Solyc04g050480.4.1	PHT65949.1
N0.HOG0013453	OG0011308	-	Solyc04g050510.3.1	PHT65964.1
N0.HOG0013454	OG0011309	-	Solyc04g050520.3.1	PHT65965.1
N0.HOG0013455	OG0011310	-	Solyc04g050550.3.1	PHT68606.1
N0.HOG0013456	OG0011311	-	Solyc04g050560.4.1	PHT96011.1
N0.HOG0013457	OG0011312	-	Solyc04g050570.3.1	PHT65737.1
N0.HOG0013458	OG0011313	-	Solyc04g050720.4.1	PHT65738.1
N0.HOG0013459	OG0011314	-	Solyc04g050760.4.1	PHT65742.1
N0.HOG0013460	OG0011315	-	Solyc06g083080.3.1, Solyc04g050790.3.1	
N0.HOG0013461	OG0011316	-	Solyc04g050930.3.1	PHT65786.1
N0.HOG0013462	OG0011317	-	Solyc04g050960.3.1	PHT65758.1
N0.HOG0013463	OG0011318	-	Solyc04g050970.3.1	PHT65757.1
N0.HOG0013464	OG0011319	-	Solyc04g050990.3.1	PHT65760.1
N0.HOG0013465	OG0011320	-	Solyc04g051030.1.1, Solyc04g051020.2.1	
N0.HOG0013466	OG0011321	-	Solyc04g051120.4.1, Solyc05g051770.3.1	
N0.HOG0013467	OG0011322	-	Solyc04g051190.3.1	PHT65755.1
N0.HOG0013468	OG0011323	-	Solyc04g051200.2.1	PHT65754.1
N0.HOG0013469	OG0011324	-	Solyc04g150139.1.1	PHT65753.1
N0.HOG0013470	OG0011325	-	Solyc04g051280.4.1	PHT65788.1
N0.HOG0013471	OG0011326	-	Solyc04g051310.4.1	PHT65787.1
N0.HOG0013472	OG0011327	-	Solyc04g051320.1.1	PHT90333.1
N0.HOG0013473	OG0011328	-	Solyc04g051340.3.1	PHT65558.1
N0.HOG0013474	OG0011329	-	Solyc04g051360.3.1	PHT65563.1
N0.HOG0013475	OG0011330	-	Solyc04g051450.3.1	PHT65574.1
N0.HOG0013476	OG0011331	-	Solyc04g051460.4.1	PHT65575.1
N0.HOG0013477	OG0011332	-	Solyc04g051470.1.1	PHT62559.1
N0.HOG0013478	OG0011333	-	Solyc04g051490.3.1	PHT65589.1
N0.HOG0013479	OG0011334	-	Solyc04g051500.3.1	PHT65588.1
N0.HOG0013480	OG0011335	-	Solyc04g051540.3.1	PHT65653.1
N0.HOG0013481	OG0011336	-	Solyc04g051570.4.1	PHT65657.1
N0.HOG0013482	OG0011337	-	Solyc04g051580.4.1	PHT65659.1
N0.HOG0013483	OG0011338	-	Solyc04g051590.3.1	PHT65660.1
N0.HOG0013484	OG0011339	-	Solyc04g051610.3.1	PHT65662.1
N0.HOG0013485	OG0011340	-	Solyc04g051660.3.1	PHT65650.1
N0.HOG0013486	OG0011341	-	Solyc04g051680.4.1	PHT65647.1
N0.HOG0013487	OG0011342	-	Solyc04g051690.4.1	PHT65644.1
N0.HOG0013488	OG0011343	-	Solyc04g051700.3.1	PHT77988.1
N0.HOG0013489	OG0011344	-	Solyc04g051710.2.1	PHT65706.1
N0.HOG0013490	OG0011345	-	Solyc04g051780.3.1	PHT65868.1
N0.HOG0013491	OG0011346	-	Solyc04g051800.3.1	PHT65869.1
N0.HOG0013492	OG0011347	-	Solyc04g051830.4.1	PHT65874.1
N0.HOG0013493	OG0011348	-	Solyc04g051850.3.1, Solyc08g006050.2.1	
N0.HOG0013494	OG0011349	-	Solyc04g051880.3.1	PHT65870.1
N0.HOG0013495	OG0011350	-	Solyc09g005430.3.1, Solyc04g052940.1.1	
N0.HOG0013496	OG0011351	-	Solyc04g053040.3.1, Solyc04g053037.1.1	
N0.HOG0013497	OG0011352	-	Solyc04g053080.4.1	PHT65888.1
N0.HOG0013498	OG0011353	-	Solyc04g053110.1.1	PHT65890.1
N0.HOG0013499	OG0011354	-	Solyc04g053120.3.1	PHT65891.1
N0.HOG0013500	OG0011355	-	Solyc04g053130.4.1	PHT65893.1
N0.HOG0013501	OG0011356	-	Solyc04g053140.3.1	PHT65882.1
N0.HOG0013502	OG0011357	-	Solyc09g050061.1.1, Solyc04g150144.1.1	
N0.HOG0013503	OG0011358	-	Solyc04g054150.2.1	PHT65720.1
N0.HOG0013504	OG0011359	-	Solyc04g054170.4.1	PHT61375.1
N0.HOG0013505	OG0011360	-	Solyc04g054180.4.1	PHT63329.1
N0.HOG0013506	OG0011361	-	Solyc04g054190.3.1	PHT65664.1
N0.HOG0013507	OG0011362	-	Solyc04g054200.3.1	PHT65678.1
N0.HOG0013508	OG0011363	-	Solyc04g054270.4.1	PHT65866.1
N0.HOG0013509	OG0011364	-	Solyc04g054310.3.1	PHT65910.1
N0.HOG0013510	OG0011365	-	Solyc04g054360.1.1	PHT76349.1
N0.HOG0013511	OG0011366	-	Solyc04g054400.3.1	PHT65709.1
N0.HOG0013512	OG0011367	-	Solyc04g054410.3.1	PHT65710.1
N0.HOG0013513	OG0011368	-	Solyc04g054430.2.1, Solyc11g020140.1.1	
N0.HOG0013514	OG0011369	-	Solyc04g054460.3.1	PHT77115.1
N0.HOG0013515	OG0011370	-	Solyc04g054480.3.1	PHT65689.1
N0.HOG0013516	OG0011371	-	Solyc04g054490.3.1	PHT65696.1
N0.HOG0013517	OG0011372	-	Solyc04g054510.4.1	PHT65691.1
N0.HOG0013518	OG0011373	-	Solyc04g054520.3.1	PHT65690.1
N0.HOG0013519	OG0011374	-	Solyc04g054690.3.1	PHT65931.1
N0.HOG0013520	OG0011375	-	Solyc04g054760.3.1	PHT81938.1
N0.HOG0013521	OG0011376	-	Solyc04g054790.2.1	PHT65716.1
N0.HOG0013522	OG0011377	-	Solyc04g054800.3.1	PHT65715.1
N0.HOG0013523	OG0011378	-	Solyc04g054820.3.1	PHT65700.1
N0.HOG0013524	OG0011379	-	Solyc04g054880.3.1	PHT65837.1
N0.HOG0013525	OG0011380	-	Solyc04g054890.3.1	PHT65838.1
N0.HOG0013526	OG0011381	-	Solyc04g054900.3.1	PHT65953.1
N0.HOG0013527	OG0011382	-	Solyc04g054960.1.1	PHT65836.1
N0.HOG0013528	OG0011383	-	Solyc04g055000.3.1	PHT65692.1
N0.HOG0013529	OG0011384	-	Solyc04g055010.3.1	PHT80038.1
N0.HOG0013530	OG0011385	-	Solyc04g055100.1.1	PHT76824.1
N0.HOG0013531	OG0011386	-	Solyc04g055180.3.1	PHT65717.1
N0.HOG0013532	OG0011387	-	Solyc04g055200.3.1	PHT65930.1
N0.HOG0013533	OG0011388	-	Solyc04g056270.4.1	PHT65925.1
N0.HOG0013534	OG0011389	-	Solyc04g056280.4.1	PHT65923.1
N0.HOG0013535	OG0011390	-	Solyc04g056320.3.1	PHT75067.1
N0.HOG0013536	OG0011391	-	Solyc04g056330.1.1	PHT94716.1
N0.HOG0013537	OG0011392	-	Solyc04g056350.1.1	PHT65905.1
N0.HOG0013538	OG0011393	-	Solyc04g056370.3.1	PHT80242.1
N0.HOG0013539	OG0011394	-	Solyc04g056410.3.1	PHT83796.1
N0.HOG0013540	OG0011395	-	Solyc04g056425.1.1	PHT65904.1
N0.HOG0013541	OG0011396	-	Solyc04g150155.1.1, Solyc04g056525.1.1	
N0.HOG0013542	OG0011397	-	Solyc04g056560.4.1	PHT65901.1
N0.HOG0013543	OG0011398	-	Solyc04g056580.3.1	PHT65840.1
N0.HOG0013544	OG0011399	-	Solyc04g056600.4.1	PHT65842.1
N0.HOG0013545	OG0011400	-	Solyc04g056610.3.1	PHT65897.1
N0.HOG0013546	OG0011401	-	Solyc04g056630.3.1	PHT65894.1
N0.HOG0013547	OG0011402	-	Solyc04g056640.1.1	PHT65895.1
N0.HOG0013548	OG0011403	-	Solyc04g056650.4.1	PHT65896.1
N0.HOG0013549	OG0011404	-	Solyc04g057780.4.1	PHT65959.1
N0.HOG0013550	OG0011405	-	Solyc04g057870.3.1	PHT68567.1
N0.HOG0013551	OG0011406	-	Solyc04g057930.4.1	PHT83783.1
N0.HOG0013552	OG0011407	-	Solyc04g057940.4.1	PHT83781.1
N0.HOG0013553	OG0011408	-	Solyc04g057960.4.1	PHT83777.1
N0.HOG0013554	OG0011409	-	Solyc04g057980.3.1	PHT83778.1
N0.HOG0013555	OG0011410	-	Solyc04g058040.3.1, Solyc04g058000.2.1	
N0.HOG0013556	OG0011411	-	Solyc04g058070.3.1	PHT83776.1
N0.HOG0013557	OG0011412	-	Solyc04g058080.3.1	PHT83775.1
N0.HOG0013558	OG0011413	-	Solyc04g058170.1.1	PHT83786.1
N0.HOG0013559	OG0011414	-	Solyc04g058180.4.1	PHT83787.1
N0.HOG0013560	OG0011415	-	Solyc04g058190.3.1	PHT83822.1
N0.HOG0013561	OG0011416	-	Solyc04g058200.3.1	PHT83821.1
N0.HOG0013562	OG0011417	-	Solyc04g063210.3.1	PHT83819.1
N0.HOG0013563	OG0011418	-	Solyc04g063220.1.1	PHT83815.1
N0.HOG0013564	OG0011419	-	Solyc04g063240.3.1	PHT83813.1
N0.HOG0013565	OG0011420	-	Solyc04g063300.3.1	PHT83806.1
N0.HOG0013566	OG0011421	-	Solyc04g063340.3.1	PHT83805.1
N0.HOG0013567	OG0011422	-	Solyc04g063350.3.1	PHT83799.1
N0.HOG0013568	OG0011423	-	Solyc04g063360.3.1	PHT83825.1
N0.HOG0013569	OG0011424	-	Solyc04g063370.3.1	PHT83826.1
N0.HOG0013570	OG0011425	-	Solyc04g063380.3.1	PHT83827.1
N0.HOG0013571	OG0011426	-	Solyc04g063390.2.1	PHT83828.1
N0.HOG0013572	OG0011427	-	Solyc04g064490.3.1	PHT83891.1
N0.HOG0013573	OG0011428	-	Solyc04g064500.4.1	PHT83889.1
